time	V(n004)
7.720320127208937e-003	4.335099e-001
7.876716352505402e-003	3.185852e-001
8.189508803098334e-003	8.687746e-002
8.234824485550511e-003	5.325729e-002
8.246153406163555e-003	4.489437e-002
8.268811247389644e-003	2.825890e-002
8.274475707696167e-003	2.416749e-002
8.285804628309211e-003	1.632533e-002
8.294144138056554e-003	1.111655e-002
8.298728172525062e-003	8.895288e-003
8.301857527280156e-003	8.012239e-003
8.305098945358294e-003	7.812927e-003
8.307425737266155e-003	8.221646e-003
8.309089476965730e-003	8.943523e-003
8.311264865467060e-003	1.033274e-002
8.313086575825059e-003	1.171710e-002
8.317418443663174e-003	1.523945e-002
8.320783645854247e-003	1.766911e-002
8.329824040597697e-003	2.443705e-002
8.338864435341148e-003	3.118981e-002
8.347904830084598e-003	3.792737e-002
8.356945224828048e-003	4.464975e-002
8.365985619571498e-003	5.135695e-002
8.375026014314949e-003	5.804895e-002
8.384066409058399e-003	6.472577e-002
8.429303620352765e-003	9.822690e-002
8.519778042941496e-003	1.650878e-001
8.673104033836575e-003	2.779388e-001
9.052019603787516e-003	5.525493e-001
9.176239885211719e-003	6.400101e-001
9.424680448060125e-003	8.085727e-001
9.921561573756937e-003	1.113001e+000
1.087128410726400e-002	1.593426e+000
1.155173535345740e-002	1.847647e+000
1.187400831831615e-002	1.924680e+000
1.213260981846354e-002	1.960020e+000
1.241188378375611e-002	1.975745e+000
1.271723865324794e-002	1.966840e+000
1.310358119423424e-002	1.913245e+000
1.372955826733357e-002	1.737494e+000
1.459636617104046e-002	1.362807e+000
1.529444719196783e-002	9.650796e-001
1.592484155322696e-002	5.463167e-001
1.621069699972998e-002	3.433087e-001
1.632460102029722e-002	2.597426e-001
1.643959376078080e-002	1.749942e-001
1.656482057480490e-002	8.248904e-002
1.657974762473378e-002	7.146357e-002
1.660960172459153e-002	4.946876e-002
1.665606466884093e-002	1.539159e-002
1.666179121835030e-002	1.158941e-002
1.666445288055520e-002	9.878274e-003
1.666730709339003e-002	8.225491e-003
1.667125860312347e-002	6.348426e-003
1.667529300539471e-002	5.019270e-003
1.667896711805899e-002	4.276343e-003
1.668057107117157e-002	4.129673e-003
1.668270967532168e-002	4.009225e-003
1.668468404380545e-002	3.915022e-003
1.668550023541584e-002	3.875250e-003
1.668602866455977e-002	3.848799e-003
1.668688789301114e-002	3.804637e-003
1.668721420709172e-002	3.782989e-003
1.668742783642321e-002	3.764495e-003
1.668758499103844e-002	3.749274e-003
1.668767878938040e-002	3.740287e-003
1.668775996985070e-002	3.732818e-003
1.668783432401096e-002	3.726233e-003
1.668802794609508e-002	3.711277e-003
1.668812868534926e-002	3.704936e-003
1.668822942460345e-002	3.699462e-003
1.668833016385763e-002	3.694855e-003
1.668843090311182e-002	3.691115e-003
1.668853164236600e-002	3.688242e-003
1.668863238162019e-002	3.686236e-003
1.668873312087437e-002	3.685098e-003
1.668926410724896e-002	3.696826e-003
1.669090180207462e-002	3.859503e-003
1.669183626532442e-002	4.067578e-003
1.669363913551939e-002	5.249802e-003
1.669445750815007e-002	7.017053e-003
1.669501238756925e-002	9.986398e-003
1.669556321981701e-002	1.469797e-002
1.669604261888189e-002	1.925096e-002
1.669624765047150e-002	2.082019e-002
1.669641145074801e-002	2.161593e-002
1.669662827608640e-002	2.218917e-002
1.669695714615051e-002	2.253840e-002
1.669744064595116e-002	2.257193e-002
1.669799735682540e-002	2.273026e-002
1.670162843247584e-002	2.550437e-002
1.670525950812628e-002	2.826738e-002
1.670889058377672e-002	3.101931e-002
1.671252165942715e-002	3.376015e-002
1.671615273507759e-002	3.648990e-002
1.671978381072803e-002	3.920856e-002
1.672341488637846e-002	4.191614e-002
1.674097130105416e-002	5.505766e-002
1.677340691575443e-002	7.930113e-002
1.683827814515496e-002	1.276905e-001
1.696802060395603e-002	2.240971e-001
1.712754576470429e-002	3.416612e-001
1.736682801171138e-002	5.141019e-001
1.784539250572555e-002	8.370388e-001
1.870878530526387e-002	1.338115e+000
1.961731254155952e-002	1.750039e+000
2.001067722166127e-002	1.872906e+000
2.030089342734309e-002	1.928636e+000
2.058104636266041e-002	1.957953e+000
2.089114356827842e-002	1.965117e+000
2.117746393478290e-002	1.944839e+000
2.164308153708991e-002	1.854331e+000
2.239399600690576e-002	1.584137e+000
2.356898630288661e-002	9.499430e-001
2.477058535864878e-002	1.486280e-001
2.491073780970602e-002	4.678530e-002
2.492455591315553e-002	3.663733e-002
2.495316367276582e-002	1.600707e-002
2.495836799585192e-002	1.273364e-002
2.496121932796833e-002	1.106588e-002
2.496421475678611e-002	9.554598e-003
2.496684292160245e-002	8.529935e-003
2.496957681208061e-002	7.904558e-003
2.497249282138671e-002	7.783257e-003
2.497429996665881e-002	8.090205e-003
2.497583583542616e-002	8.706699e-003
2.497794025327677e-002	9.972014e-003
2.498011417148960e-002	1.158785e-002
2.498456428399192e-002	1.519660e-002
2.498787859267176e-002	1.759300e-002
2.499696958623421e-002	2.439617e-002
2.500606057979667e-002	3.118475e-002
2.501515157335912e-002	3.795874e-002
2.502424256692158e-002	4.471815e-002
2.503333356048403e-002	5.146298e-002
2.504242455404649e-002	5.819322e-002
2.505151554760894e-002	6.490887e-002
2.509191960127524e-002	9.483356e-002
2.517272770860782e-002	1.545733e-001
2.531295805855962e-002	2.578622e-001
2.567844777268588e-002	5.234684e-001
2.580033094774882e-002	6.096789e-001
2.604409729787468e-002	7.763143e-001
2.653162999812641e-002	1.079107e+000
2.746502146050839e-002	1.560807e+000
2.818257842610868e-002	1.836845e+000
2.851413544449296e-002	1.919691e+000
2.876623625682160e-002	1.955764e+000
2.907918692320738e-002	1.974658e+000
2.938414210409425e-002	1.966439e+000
2.977063292177452e-002	1.912774e+000
3.039684569533259e-002	1.738082e+000
3.123010696636970e-002	1.380767e+000
3.192514172512850e-002	9.874461e-001
3.256041964595489e-002	5.676774e-001
3.285334552464726e-002	3.604508e-001
3.296482338766103e-002	2.787785e-001
3.307795759783932e-002	1.954820e-001
3.319912535046279e-002	1.060617e-001
3.332119309637741e-002	1.607904e-002
3.332273263300348e-002	1.502102e-002
3.332936432063729e-002	1.065416e-002
3.333183538915115e-002	9.121712e-003
3.333504655788839e-002	7.399029e-003
3.333920033193367e-002	5.690407e-003
3.334337274810015e-002	4.658737e-003
3.334846870399745e-002	4.028304e-003
3.334963540056981e-002	3.971082e-003
3.335119099599962e-002	3.896194e-003
3.335184602413118e-002	3.863772e-003
3.335256850262599e-002	3.830751e-003
3.335287869623159e-002	3.815732e-003
3.335315210644099e-002	3.798740e-003
3.335336141975086e-002	3.782215e-003
3.335351339252095e-002	3.768479e-003
3.335364224674667e-002	3.756052e-003
3.335377640980754e-002	3.743008e-003
3.335389168766246e-002	3.732349e-003
3.335401186090361e-002	3.722031e-003
3.335418969780909e-002	3.708882e-003
3.335432646718498e-002	3.700869e-003
3.335446323656087e-002	3.694394e-003
3.335460000593676e-002	3.689459e-003
3.335473677531264e-002	3.686062e-003
3.335487354468853e-002	3.684204e-003
3.335501031406443e-002	3.683885e-003
3.335514708344031e-002	3.685105e-003
3.335618153882707e-002	3.772351e-003
3.335695402952882e-002	3.848210e-003
3.335774477670301e-002	3.975964e-003
3.335927410085470e-002	4.646626e-003
3.336024872718581e-002	5.934067e-003
3.336084163937070e-002	8.007453e-003
3.336134168944484e-002	1.147272e-002
3.336201217258851e-002	1.775360e-002
3.336227162408303e-002	2.003822e-002
3.336243993436742e-002	2.110403e-002
3.336265402426292e-002	2.193792e-002
3.336288043525474e-002	2.239368e-002
3.336311870836996e-002	2.256074e-002
3.336356316974388e-002	2.256740e-002
3.336412551213912e-002	2.272848e-002
3.336988776749340e-002	2.710886e-002
3.337565002284769e-002	3.147431e-002
3.338141227820198e-002	3.582484e-002
3.338717453355627e-002	4.016043e-002
3.339293678891055e-002	4.448110e-002
3.339869904426484e-002	4.878684e-002
3.340446129961913e-002	5.307765e-002
3.343556793527826e-002	7.633105e-002
3.349778120659652e-002	1.227490e-001
3.362078037646062e-002	2.141870e-001
3.377781105549380e-002	3.300385e-001
3.400506516712902e-002	4.943013e-001
3.445957339039947e-002	8.030483e-001
3.532224416319392e-002	1.312068e+000
3.619957978967502e-002	1.721350e+000
3.662320917061569e-002	1.859842e+000
3.692714971878811e-002	1.922865e+000
3.719869472556439e-002	1.955633e+000
3.747075737562950e-002	1.967292e+000
3.773913068624184e-002	1.955984e+000
3.813917749518428e-002	1.895281e+000
3.878690935773132e-002	1.699113e+000
3.981414946008228e-002	1.205244e+000
